Cylcle,Condition,Strain,Rep 1,Rep 2,Rep 3,Mean,SD
5,Shaking,NF54 ,4.207894737,4.048824593,4.218623482,4.158447604,0.054898937
6,Shaking,Barseq ,5.590828924,5.268115942,6.995633188,5.951526018,0.530300466
6,Shaking,KOEBA140 C3 ,3.404958678,2.354497354,3.030344828,2.92993362,0.307370057
6,Shaking,KORH4 C1,3.105326877,3.159478435,3.520923521,3.261909611,0.130446991
6,Shaking,KOPfs25 C3,6.477203647,6.65926893,6.552447552,6.562973376,0.052820566
6,Shaking,KOEBA181 C1,6.558928571,6.85492228,6.539513678,6.65112151,0.102054397
6,Shaking,KOEBA175 C6,4.664285714,6.18258427,4.642523364,5.163131116,0.509765289
6,Shaking,KORH2a C1,5.760589319,6.293069307,7.039370079,6.364342901,0.370868351
6,Shaking,KOP230P C5 ,2.906367041,3.749700599,4.282016349,3.646027996,0.400484607
6,Shaking,KORh2a C3,3.703808181,4.204887218,4.933962264,4.280885888,0.357142183
6,Shaking,KORH1 C1,2.073684211,2.423298731,2.283995187,2.260326043,0.101616517
6,Shaking,KOPfs25 C1,7.21756487,7.506706408,8.855643045,7.859971441,0.504784497
6,Shaking,KOEBA140 C4 ,2.783898305,4.081300813,3.421052632,3.428750583,0.374547621
6,Shaking,KOEBA181 C2,5.339832869,5.966666667,7.629690049,6.312063195,0.683211911
6,Shaking,KOP230P C3 ,3.078023407,4.181697613,4.394817073,3.884846031,0.40807558
6,Shaking,NF54 ,4.379562044,4.864297254,5.328407225,4.857422174,0.27392958
7,Shaking,Barseq ,4.287341772,4.752056404,5.76031746,4.933238546,0.434754556
7,Shaking,KOEBA140 C3 ,2.336088154,2.296,2.486979167,2.37302244,0.058141685
7,Shaking,KORH4 C1,2.370512821,2.462606838,2.794504182,2.54254128,0.128755977
7,Shaking,KOPfs25 C3,5.523992322,5.472799209,5.319834711,5.438875414,0.061327537
7,Shaking,KOEBA181 C1,4.830708661,5.308996089,4.994609164,5.044771305,0.140329251
7,Shaking,KOEBA175 C6,3.759459459,3.587131367,4.22979798,3.858796269,0.1920555
7,Shaking,KORH2a C1,4.347928994,5.002724796,5.35375817,4.901470653,0.294738519
7,Shaking,KOP230P C5 ,2.340075853,2.827513228,3.31425486,2.827281313,0.28122128
7,Shaking,KORh2a C3,2.763636364,3.868651489,3.758967001,3.463751618,0.351486699
7,Shaking,KORH1 C1,1.567944251,1.822410148,2.209335219,1.866563206,0.186465111
7,Shaking,KOPfs25 C1,5.105700713,6.550691244,7.452211127,6.369534361,0.683408405
7,Shaking,KOEBA140 C4 ,2.522648084,2.407079646,2.622699387,2.517475705,0.062297761
7,Shaking,KOEBA181 C2,4.324380165,4.359322034,6.08997955,4.924560583,0.58279678
7,Shaking,KOP230P C3 ,2.34619883,2.8664422,3.232346241,2.814995757,0.257098788
7,Shaking,NF54 ,3.472560976,3.861581921,4.369299221,3.901147373,0.259620838
8,Shaking,Barseq ,4.280550775,4.273809524,5.498154982,4.68417176,0.406996263
8,Shaking,KOEBA140 C3 ,2.284090909,2.338181818,2.166219839,2.262830855,0.050766534
8,Shaking,KORH4 C1,1.937234043,2.189526185,2.402567095,2.176442441,0.134489282
8,Shaking,KOPfs25 C3,4.543247344,5.088571429,5.62339515,5.085071308,0.311816724
8,Shaking,KOEBA181 C1,4.329883571,5.259044863,4.92563081,4.838186414,0.271765873
8,Shaking,KOEBA175 C6,3.309309309,4.886956522,3.75,3.98208861,0.469979263
8,Shaking,KORH2a C1,3.964285714,4.873900293,5.855305466,4.897830491,0.546021494
8,Shaking,KOP230P C5 ,1.950094162,2.352063213,2.439252336,2.247136571,0.150638785
8,Shaking,KORh2a C3,2.393665158,3.534883721,3.306026365,3.078191748,0.348581129
8,Shaking,KORH1 C1,1.490118577,2.044,1.855103498,1.796407358,0.162562896
8,Shaking,KOPfs25 C1,4.172552167,5.577367206,6.222778473,5.324232615,0.60523131
8,Shaking,KOEBA140 C4 ,1.84063745,2.172506739,2.68018018,2.231108123,0.244119909
8,Shaking,KOEBA181 C2,3.642553191,4.769968051,5.0501002,4.487540481,0.430163203
8,Shaking,KOP230P C3 ,2.121153846,2.690265487,2.731753555,2.514390962,0.196982983
8,Shaking,NF54 ,2.832043344,3.740242261,4.383977901,3.652087835,0.450167976
